Combined Plate Maps for Multi-Plate Experiment

Plate ID 1,,,,,,,,,,,
SID001,SID002,SID003,SID004,SID005,SID006,SID007,SID008,SID009,SID010,SID011,SID012
SID013,SID014,SID015,SID016,SID017,SID018,SID019,SID020,SID021,SID022,SID023,SID024
SID025,SID026,SID027,SID028,SID029,SID030,SID031,SID032,SID033,SID034,SID035,SID036
SID037,SID038,SID039,SID040,SID041,SID042,SID043,SID044,SID045,SID046,SID047,SID048
pos1,pos2,pos3,pos4,pos5,pos6,neg1,neg2,neg3,neg4,neg5,neg6
SID049,SID050,SID051,SID052,SID053,SID054,SID055,SID056,SID057,SID058,SID059,SID060
SID061,SID062,SID063,SID064,SID065,SID066,SID067,SID068,SID069,SID070,SID071,SID072
SID073,SID074,SID075,SID076,SID077,SID078,SID079,SID080,SID081,SID082,SID083,SID084

Plate ID 2,,,,,,,,,,,
S001,S002,S003,S004,Sample_001,Sample_002,Sample_003,Sample_004,CTRL+,CTRL+,CTRL+,Blank
S005,S006,S007,S008,Sample_005,Sample_006,Sample_007,Sample_008,CTRL+,CTRL+,CTRL+,Blank
S009,S010,S011,S012,Sample_009,Sample_010,Sample_011,Sample_012,CTRL-,CTRL-,CTRL-,Blank
S013,S014,S015,S016,Sample_013,Sample_014,Sample_015,Sample_016,CTRL-,CTRL-,CTRL-,Blank
S017,S018,S019,S020,Sample_017,Sample_018,Sample_019,Sample_020,CTRL-,CTRL-,CTRL-,Blank
S021,S022,S023,S024,Sample_021,Sample_022,Sample_023,Sample_024,Blank,Blank,Blank,Blank
S025,S026,S027,S028,Sample_025,Sample_026,Sample_027,Sample_028,Blank,Blank,Blank,Blank
S029,S030,S031,S032,Sample_029,Sample_030,Sample_031,Sample_032,Blank,Blank,Blank,Blank

Plate ID 3,,,,,,,,,,,
A1-001,A2-001,A3-001,A4-001,A5-001,A6-001,A7-001,A8-001,A9-001,A10-001,A11-001,A12-001
B1-002,B2-002,B3-002,B4-002,B5-002,B6-002,B7-002,B8-002,B9-002,B10-002,B11-002,B12-002
C1-003,C2-003,C3-003,C4-003,C5-003,C6-003,C7-003,C8-003,C9-003,C10-003,C11-003,C12-003
D1-004,D2-004,D3-004,D4-004,D5-004,D6-004,D7-004,D8-004,D9-004,D10-004,D11-004,D12-004
E1-005,E2-005,E3-005,E4-005,E5-005,E6-005,E7-005,E8-005,E9-005,E10-005,E11-005,E12-005
F1-006,F2-006,F3-006,F4-006,F5-006,F6-006,F7-006,F8-006,F9-006,F10-006,F11-006,F12-006
G1-007,G2-007,G3-007,G4-007,G5-007,G6-007,G7-007,G8-007,G9-007,G10-007,G11-007,G12-007
H1-008,H2-008,H3-008,H4-008,H5-008,H6-008,H7-008,H8-008,H9-008,H10-008,H11-008,H12-008
